Order ID,Date,Time,date_time,Kiosk,Product,Qty,Subtotal,Unit Price_BD,Unit_Price_AD,Discount Applied,Total,COGS,Margin,Fridge Type,Promotion Label,,,,,,,,,,,
1584PXD9VZ,9/4/19,12:31:11 PM,12:31:11 PM,Robins Kaplan,Atomic Coffee - Cold Brew,1,3.98,3.98,3.58,0.4,3.58,0,3.98,Byte,,,,,,,,,,,,
1588PXD964,9/4/19,12:15:40 PM,12:15:40 PM,Kronos,SmartSweets Gummy Bears,1,3.49,3.49,3.49,0,3.49,2.49,1,Byte,,,,,,,,,,,,
1590PXD8C4,9/4/19,11:57:40 AM,11:57:40 AM,GSV,Chicken Caesar Half Wrap,1,4.5,4.5,4.5,0,4.5,0,4.5,Byte,,,,,,,,,,,,
1588PXD7B5,9/4/19,11:35:29 AM,11:35:29 AM,Kronos,Pulled Buffalo Chicken Bowl,1,7.98,7.98,7.98,0,7.98,3.5,4.48,Byte,,,,,,,,,,,,
1584PXD6UE,9/4/19,11:25:26 AM,11:25:26 AM,Robins Kaplan,Zesty Burrito Bowl,1,7.98,7.98,7.18,0.8,7.18,1,6.98,Byte,,,,,,,,,,,,
1584PXD6O1,9/4/19,11:21:37 AM,11:21:37 AM,Robins Kaplan,Atomic Coffee - Cold Brew,1,3.98,3.98,3.58,0.4,3.58,0,3.98,Byte,,,,,,,,,,,,
1584PXD6O1,9/4/19,11:21:37 AM,11:21:37 AM,Robins Kaplan,Vegetarian Harvest Bowl,1,7.98,7.98,7.18,0.8,7.18,3,4.98,Byte,,,,,,,,,,,,
1584PXD6O1,9/4/19,11:21:37 AM,11:21:37 AM,Robins Kaplan,6AM Health Juice - Cleanse,1,5.98,5.98,5.38,0.6,5.38,0,5.98,Byte,,,,,,,,,,,,
1590PXD5F8,9/4/19,10:54:44 AM,10:54:44 AM,GSV,Pulled Buffalo Chicken Bowl,1,7.98,7.98,7.98,0,7.98,3.5,4.48,Byte,,,,,,,,,,,,
1583PXD4CE,9/4/19,10:31:26 AM,10:31:26 AM,Lionbridge,Trail Mix Pack Cranberry,1,1.29,1.29,1.29,0,1.29,0,1.29,Byte,,,,,,,,,,,,
1583PXD40M,9/4/19,10:24:22 AM,10:24:22 AM,Lionbridge,Vermont Cheddar & Grapes,1,3.49,3.49,3.49,0,3.49,1,2.49,Byte,,,,,,,,,,,,
